Source,Target,Weight
HeroesOfNewerth,KMRU,1393
GameTuts,WHMCS,248
Leet,Neopets,48850
ClixSense,FFShrine,3635
Flashback,HackForums,70
PaddyPower,Uiggy,455
Avast,WarInc,540
HeroesOfNewerth,Verified,274
Dodonew,Lifeboat,9755
Aternos,Tumblr,14936
Aipai,DLH,1597
AstroPID,NextGenUpdate,654
LinuxMint,Nulled,200
Adobe,Aipai,125531
SkTorrent,iPmart,1320
HeroesOfNewerth,PaddyPower,1942
GameTuts,iPmart,5124
BlackHatWorld,Duowan,80
LoungeBoard,Teracod,24
126,Spirol,2
NexusMods,Nival,28317
BlackHatWorld,Insanelyi,1741
MuslimDirectory,PHPFreaks,38
LoungeBoard,MajorGeeks,95
HackingTeam,QatarNationalBank,9
ClixSense,Dodonew,5241
126,Malwarebytes,2
R2Games,WildStar,49863
AcneOrg,myRepoSpace,123
MailRu,NexusMods,5655
AndroidForums,PSX-Scene,5523
BigMoneyJobs,Solomid,2
Neteller,Yahoo,5858
Lookbook,Taobao,3772
Lifeboat,Patreon,6971
TruckersMP,myRepoSpace,93
WPT,XSplit,281
17Media,XSplit,9017
Plex,WPT,106
NexusMods,PSX-Scene,22545
126,AcneOrg,9
Malwarebytes,SkTorrent,13
QuantumBooter,Verified,3
FlashFlashRevolution,uTorrent,1900
LOTR,WarInc,16719
AcneOrg,IGF,16
LOTR,LinuxMint,1312
DLH,QuantumBooter,590
Lifeboat,iMesh,97110
GameTuts,IGF,37
BusinessAcumen,LoungeBoard,3
HeroesOfNewerth,MuslimDirectory,240
AcneOrg,Dodonew,1288
WarInc,Win7Vista,1164
NetEase,PixelFederation,107
CheapAssGamer,PS3Hax,6183
Solomid,Win7Vista,212
BusinessAcumen,Win7Vista,6
AndroidForums,VK,4570
Trillian,gPotato,36897
MinecraftPocketEditionForum,Taobao,14
MoneyBookers,PaddyPower,24806
CannabisForum,EpicGames,567
KMRU,myRepoSpace,31
HeroesOfNewerth,Vodafone,550
BlackHatWorld,WHMCS,2756
Nihonomaru,Warframe,3639
MajorGeeks,MinecraftPocketEditionForum,5
MySpace,ServerPact,2490
GameTuts,HeroesOfNewerth,12774
ClixSense,SprashivaiRu,982
Mac-Torrents,ServerPact,7
MinecraftWorldMap,Win7Vista,61
R2Games,XSplit,105686
GeekedIn,MuslimDirectory,14
HeroesOfNewerth,R2Games,362651
Aternos,QuantumBooter,446
CannabisForum,FFShrine,941
LOTR,Uiggy,448
MoDaCo,PaddyPower,1895
126,NexusMods,6082
CannabisForum,Taobao,187
GeekedIn,MajorGeeks,561
126,Yahoo,19
IGF,PS3Hax,113
Avast,Forbes,2412
Malwarebytes,MoDaCo,1410
CannabisForum,MajorGeeks,827
GFAN,QatarNationalBank,56
GTAGaming,IGF,16
DDO,WPT,944
Vodafone,myRepoSpace,2
HackForums,LoungeBoard,1084
Nival,iPmart,2058
Interpals,xat,14467
MailRu,PHPFreaks,117
PHPFreaks,SCDailyPhoneSpamList,1229
KMRU,uTorrent,371
BigMoneyJobs,KMRU,1
StarNet,ThisHabboForum,6
MPGH,WIIUISO,19541
ArmyForceOnline,ClixSense,1839
GeekedIn,MySpace,78905
ModernBusinessSolutions,R2Games,405176
Adobe,Warframe,46452
ClixSense,Gawker,2459
Comcast,Tianya,9
Flashback,WPT,5
Forbes,Minefield,29
Comcast,GeekedIn,93
LizardSquad,UnrealEngine,123
Hemmakvall,SCDailyPhoneSpamList,16
ModernBusinessSolutions,Vodafone,121
Trillian,UnrealEngine,10537
PokemonCreed,Verified,13
WildStar,Win7Vista,798
LizardSquad,iMesh,446
Dodonew,StarNet,14
Dodonew,ModernBusinessSolutions,48297
MajorGeeks,SpecialKSpamList,6553
CheapAssGamer,DLH,7088
ServerPact,Tumblr,2661
MailRu,Vodafone,5
Aipai,Plex,232
MangaTraders,PixelFederation,31
OwnedCore,WildStar,27322
Patreon,SpecialKSpamList,20222
BTSec,ClixSense,51328
FFShrine,KMRU,142
Hemmakvall,Xbox-Scene,68
Hemmelig,Nulled,14
Dodonew,UnrealEngine,1024
Boxee,Win7Vista,488
MPGH,ModernBusinessSolutions,67870
MPGH,MyVidster,37
AhaShare,HackForums,512
SkTorrent,gPotato,74
Avast,Boxee,15417
BlackHatWorld,Xbox-Scene,2933
Lifeboat,SkTorrent,261
BusinessAcumen,GTAGaming,189
ModernBusinessSolutions,SpecialKSpamList,7752425
GeekedIn,SumoTorrent,283
Hemmakvall,MPGH,225
CheapAssGamer,SkTorrent,21
BlackHatWorld,DLH,2272
MPGH,Nival,17059
OwnedCore,ThisHabboForum,1116
PokemonCreed,WHMCS,41
ModernBusinessSolutions,MySpace,7915583
HackForums,PS3Hax,2962
HackingTeam,Stratfor,143
ClixSense,GFAN,1896
MangaTraders,QatarNationalBank,40
Gawker,Teracod,24
GTAGaming,ThisHabboForum,635
Hemmelig,LizardSquad,5
Forbes,Stratfor,8309
Minefield,TruckersMP,166
Dominos,SkTorrent,14
BTSec,GamerzPlanet,14068
BTSec,ServerPact,259
DDO,Gamigo,103291
MajorGeeks,MoDaCo,3299
GeekedIn,Vodafone,133
SCDailyPhoneSpamList,Taobao,1114
Taobao,Win7Vista,1026
000webhost,AndroidForums,16992
MPGH,MangaTraders,13633
Taobao,Vodafone,5
IGF,Leet,3
BTSec,OwnedCore,24947
LinuxMint,MajorGeeks,1199
ModernBusinessSolutions,Rambler,411
DLH,Vodafone,12
HackingTeam,Yahoo,4
LinkedIn,SprashivaiRu,8397
Patreon,VK,6319
DLH,MoneyBookers,3282
Neopets,Xbox-Scene,10444
GeekedIn,MoDaCo,5308
Lastfm,Nival,47216
Experian,FoxyBingo,166
Bell,Boxee,3
HeroesOfGaia,Uiggy,268
17Media,Aternos,338
CrackCommunity,Patreon,107
PixelFederation,Tumblr,435
000webhost,TRAI,2253
Boxee,GTAGaming,758
LoungeBoard,VBulletin,3453
Malwarebytes,R2Games,1312
MinecraftWorldMap,Pokebip,98
ArmyForceOnline,CannabisForum,336
Stratfor,Taobao,920
KMRU,MangaTraders,145
Hemmelig,MoneyBookers,32
BitTorrent,Duowan,3
FoxyBingo,Seedpeer,222
Neopets,SCDailyPhoneSpamList,328404
Neteller,Nulled,1012
AcneOrg,ThisHabboForum,1046
NextGenUpdate,WildStar,5728
CheapAssGamer,Insanelyi,1309
Gawker,HackingTeam,22
Malwarebytes,Minefield,21
COMELEC,Uiggy,593
ArmyForceOnline,Warframe,3848
Forbes,MajorGeeks,1282
MailRu,eThekwiniMunicipality,2
Avast,Sony,43
AstroPID,GFAN,106
Stratfor,Tumblr,28744
Aternos,myRepoSpace,2946
HackingTeam,MajorGeeks,3
AndroidForums,CannabisForum,1362
GamerzPlanet,Yandex,24
BTSec,COMELEC,1104
000webhost,Gamigo,89476
StarNet,xat,151
VK,Warframe,26792
17Media,Flashback,68
Nival,Warframe,11265
MoneyBookers,Onverse,1387
Lookbook,OwnedCore,1942
PSX-Scene,WarInc,2121
Duowan,Insanelyi,58
Dodonew,LizardSquad,83
GTAGaming,eThekwiniMunicipality,3
Mac-Torrents,WildStar,131
Experian,KMRU,26
Comcast,Verified,1
17Media,Hemmakvall,3
126,UnrealEngine,165
GeekedIn,WHMCS,1247
HackForums,WIIUISO,2204
R2Games,WHMCS,862
Boxee,Nival,54
Flashback,Nihonomaru,246
BlackHatWorld,Onverse,581
MySpace,Tianya,125402
BlackHatWorld,MailRu,490
Lookbook,NetEase,11532
Boxee,EpicGames,3576
GameTuts,Malwarebytes,571
BitTorrent,PHPFreaks,213
CivilOnline,iMesh,9476
MuslimDirectory,WIIUISO,54
ModernBusinessSolutions,Nihonomaru,23230
LoungeBoard,Yahoo,61
ClixSense,CrackCommunity,269
Interpals,WildStar,3030
PS3Hax,QuantumBooter,608
Neteller,Vodafone,208
Dropbox,Patreon,169054
GFAN,LinuxMint,403
PHPFreaks,Tumblr,12380
HackForums,Lastfm,26103
NexusMods,VK,76240
GFAN,StarNet,4
FoxyBingo,ModernBusinessSolutions,24686
Plex,gPotato,2232
Minefield,uTorrent,93
UnrealEngine,Vodafone,35
Minefield,Tumblr,7258
CivilOnline,XSplit,631
Onverse,uTorrent,275
AndroidForums,WHMCS,619
Gawker,HackForums,579
BitTorrent,BlueSnapRegpack,3
DDO,Patreon,15464
MySpace,Nival,75493
MoneyBookers,gPotato,20394
WildStar,Xbox-Scene,2339
Lastfm,Taobao,99018
COMELEC,Lastfm,3043
Dropbox,Interpals,102910
Experian,WarInc,1586
SCDailyPhoneSpamList,SkTorrent,44
SpecialKSpamList,Xbox-Scene,6420
Lastfm,iMesh,1797651
BlackHatWorld,VK,7211
Forbes,Seedpeer,368
AndroidForums,Pokebip,45
Lastfm,SkTorrent,3052
ClixSense,Minefield,259
KMRU,VK,122207
FlashFlashRevolution,Seedpeer,582
Neopets,Pokebip,7094
HackForums,MySpace,47768
AcneOrg,MoneyBookers,1807
000webhost,Nihonomaru,38273
NextGenUpdate,iDressup,2471
FoxyBingo,Tumblr,3740
ModernBusinessSolutions,Uiggy,36027
CheapAssGamer,TruckersMP,94
GamerzPlanet,iMesh,63165
SumoTorrent,mSpy,147
Comcast,Patreon,581
MoneyBookers,Taobao,2791
MuslimDirectory,mSpy,62
LizardSquad,Uiggy,8
Dominos,SumoTorrent,864
DDO,Mac-Torrents,319
LinkedIn,Taobao,153909
AhaShare,BigMoneyJobs,11
Minefield,Teracod,2
AhaShare,Lastfm,12802
MajorGeeks,myRepoSpace,196
Rambler,WildStar,269
FlashFlashRevolution,Nulled,1387
Lastfm,Sony,2184
Gamigo,LinuxMint,1796
Adobe,BattlefieldHeroes,25
DDO,MuslimDirectory,36
DDO,R2Games,108973
LinuxMint,Xbox-Scene,1386
AcneOrg,xat,1081
R2Games,Tesco,7
LoungeBoard,SumoTorrent,83
Boxee,Insanelyi,993
BusinessAcumen,Dodonew,2
AhaShare,Aipai,97
MinecraftWorldMap,Xbox-Scene,194
AcneOrg,Interpals,2235
NetEase,Neteller,38032
QuantumBooter,gPotato,162
HackForums,PaddyPower,256
BTSec,WarInc,16592
126,SumoTorrent,32
eThekwiniMunicipality,uTorrent,13
MoneyBookers,PHPFreaks,2207
HackingTeam,gPotato,7
GFAN,Interpals,5611
Stratfor,xat,767
AstroPID,UnrealEngine,32
126,LinkedIn,10140
Experian,ServerPact,36
FlashFlashRevolution,GamerzPlanet,16361
CannabisForum,SpecialKSpamList,6650
Boxee,Onverse,98
GamerzPlanet,Onverse,4553
BlackHatWorld,Solomid,14160
AhaShare,Comcast,44
AcneOrg,NexusMods,6469
BusinessAcumen,DLH,6
Lookbook,R2Games,6258
MangaTraders,Uiggy,1227
Comcast,GameTuts,166
ModernBusinessSolutions,xat,109701
StarNet,iDressup,32
AndroidForums,SumoTorrent,871
CheapAssGamer,IGF,36
Seedpeer,Solomid,114
Dropbox,PokemonCreed,3866
Yandex,gPotato,37
Forbes,Xbox-Scene,896
AcneOrg,WPT,85
Duowan,mSpy,57
PS3Hax,StarNet,12
MangaTraders,TruckersMP,50
Leet,Solomid,824
Mac-Torrents,Teracod,160
ModernBusinessSolutions,MoneyBookers,69787
Neteller,SCDailyPhoneSpamList,75892
Seedpeer,StarNet,36
HeroesOfGaia,Verified,8
BusinessAcumen,Leet,10
AcneOrg,Tianya,833
VK,gPotato,12095
SCDailyPhoneSpamList,iPmart,7517
GFAN,Leet,6060
Dropbox,Lookbook,110539
NexusMods,PHPFreaks,3689
SprashivaiRu,Taobao,52
Interpals,Yahoo,2557
SkTorrent,Teracod,196
Nival,WPT,73
LinuxMint,mSpy,57
Avast,PS3Hax,1089
LOTR,SumoTorrent,565
Flashback,LinuxMint,56
SumoTorrent,WPT,23
HackForums,Tianya,64
PSX-Scene,Win7Vista,3153
WIIUISO,Warframe,1127
SumoTorrent,eThekwiniMunicipality,3
SCDailyPhoneSpamList,Tianya,3293
Bell,WPT,1
PS3Hax,Spirol,2
CheapAssGamer,Trillian,18667
BigMoneyJobs,uTorrent,15
MoDaCo,MyVidster,29
Teracod,Win7Vista,200
LizardSquad,Nulled,912
NextGenUpdate,OwnedCore,19712
Gawker,Trillian,29121
CannabisForum,MinecraftPocketEditionForum,23
FoxyBingo,Gamigo,727
TRAI,myRepoSpace,23
MailRu,Onverse,508
PixelFederation,Solomid,7
Insanelyi,Tumblr,14634
MPGH,Seedpeer,2256
Seedpeer,Trillian,3650
KMRU,SCDailyPhoneSpamList,102
SumoTorrent,TRAI,34
GamerzPlanet,HackingTeam,3
CivilOnline,Neopets,9444
Nulled,Teracod,105
GeekedIn,KMRU,123
FoxyBingo,PokemonCreed,91
CheapAssGamer,HackingTeam,2
Hemmakvall,Nihonomaru,210
BitTorrent,Dominos,27
HackForums,LinuxMint,609
Pokebip,Taobao,161
AhaShare,gPotato,456
WIIUISO,iDressup,630
HeroesOfNewerth,Seedpeer,2624
Bell,MailRu,2
Comcast,Neteller,3532
Teracod,VK,331
DDO,Win7Vista,1838
Malwarebytes,PixelFederation,10
GFAN,SkTorrent,53
CivilOnline,UnrealEngine,647
Malwarebytes,WHMCS,180
Dominos,Dropbox,53757
NetEase,eThekwiniMunicipality,59
Aternos,StarNet,3
GFAN,MajorGeeks,273
Lifeboat,UnrealEngine,2751
MuslimDirectory,SpecialKSpamList,362
EpicGames,Tianya,340
KMRU,MuslimDirectory,14
GameTuts,XSplit,26985
Gamigo,myRepoSpace,2099
PSX-Scene,Plex,4053
Solomid,Teracod,46
FlashFlashRevolution,Pokebip,1101
CivilOnline,VBulletin,371
TruckersMP,Tumblr,2180
Hemmakvall,HeroesOfNewerth,1793
Bell,MajorGeeks,4
Sony,WarInc,12
Aipai,R2Games,6072
Onverse,iPmart,1517
17Media,IGF,1
LizardSquad,Mac-Torrents,18
AstroPID,FlashFlashRevolution,99
Insanelyi,SpecialKSpamList,2090
GTAGaming,PaddyPower,111
PaddyPower,ServerPact,22
Plex,WIIUISO,3236
SkTorrent,Yandex,2
HeroesOfGaia,MinecraftWorldMap,67
COMELEC,Solomid,35
CheapAssGamer,Pokebip,356
LoungeBoard,MuslimDirectory,5
AhaShare,Gawker,577
DLH,gPotato,8726
Neopets,SkTorrent,104
Hemmakvall,myRepoSpace,6
AhaShare,AndroidForums,1207
ClixSense,TRAI,811
AhaShare,GTAGaming,230
NexusMods,Seedpeer,3285
Mac-Torrents,MajorGeeks,204
KMRU,WIIUISO,24
MoneyBookers,VK,24027
Hemmelig,NetEase,258
FFShrine,Uiggy,400
ModernBusinessSolutions,uTorrent,11268
Hemmelig,PHPFreaks,16
GFAN,LizardSquad,88
BTSec,BigMoneyJobs,417
Nival,WarInc,8927
LoungeBoard,PHPFreaks,329
LOTR,VK,5809
PixelFederation,ThisHabboForum,28
Interpals,iDressup,8144
SumoTorrent,Tumblr,7582
CheapAssGamer,Lookbook,886
Aternos,HeroesOfNewerth,7225
FFShrine,VBulletin,8539
Onverse,WarInc,4124
Sony,Uiggy,6
ClixSense,IGF,19
MangaTraders,UnrealEngine,1989
COMELEC,ModernBusinessSolutions,2723
Lifeboat,myRepoSpace,7629
Lifeboat,NexusMods,4569
HackingTeam,Neopets,30
126,VBulletin,48
NextGenUpdate,Tumblr,131783
Neopets,Sony,994
Adobe,Tesco,331
MinecraftPocketEditionForum,Teracod,2
Dropbox,MySpace,7312037
AndroidForums,ServerPact,45
IGF,WIIUISO,9
CrackCommunity,Taobao,30
Leet,Lifeboat,1088585
GFAN,VK,7634
Seedpeer,myRepoSpace,249
AcneOrg,PaddyPower,506
COMELEC,LoungeBoard,6
GFAN,xat,1241
AstroPID,iMesh,134
Neteller,WildStar,3868
Mac-Torrents,NexusMods,1751
EpicGames,Win7Vista,527
COMELEC,R2Games,3218
AcneOrg,HeroesOfNewerth,6156
FFShrine,Xbox-Scene,5435
Bell,NextGenUpdate,6
COMELEC,Warframe,50
OwnedCore,Plex,3882
DLH,Onverse,3208
DDO,Malwarebytes,1227
COMELEC,SumoTorrent,30
QatarNationalBank,VBulletin,105
LinuxMint,eThekwiniMunicipality,12
PaddyPower,Yahoo,439
NetEase,mSpy,3456
Lifeboat,TruckersMP,472
GTAGaming,R2Games,5983
PixelFederation,Yahoo,5
Pokebip,QuantumBooter,187
Dropbox,Spirol,2124
WHMCS,Win7Vista,375
Tesco,uTorrent,1
Experian,PSX-Scene,506
BigMoneyJobs,Interpals,27
PHPFreaks,Vodafone,9
BitTorrent,SpecialKSpamList,551
mSpy,xat,1016
Nihonomaru,Xbox-Scene,5258
MajorGeeks,ThisHabboForum,77
Forbes,QatarNationalBank,106
Dropbox,GFAN,174741
HeroesOfNewerth,Leet,50755
Duowan,EpicGames,55
Bell,DDO,5
MPGH,Teracod,846
MajorGeeks,SprashivaiRu,10
BitTorrent,LinkedIn,5265
BlackHatWorld,Tianya,1460
BlueSnapRegpack,mSpy,86
Lookbook,ModernBusinessSolutions,17222
HeroesOfNewerth,Stratfor,3481
BigMoneyJobs,Seedpeer,10
R2Games,TruckersMP,1823
Hemmakvall,Neteller,343
MajorGeeks,ModernBusinessSolutions,10552
Hemmakvall,ThisHabboForum,67
FoxyBingo,iMesh,17753
Adobe,Taobao,275130
GamerzPlanet,SumoTorrent,1010
GeekedIn,Patreon,14518
OwnedCore,SprashivaiRu,428
VBulletin,xat,7297
17Media,MyVidster,130
BTSec,Hemmelig,211
Forbes,PHPFreaks,1256
Dodonew,myRepoSpace,568
CrackCommunity,Teracod,15
GamerzPlanet,Teracod,220
KMRU,SumoTorrent,86
Adobe,LinuxMint,32492
AhaShare,Warframe,54
Rambler,SumoTorrent,447
Hemmelig,LinuxMint,6
Experian,TRAI,6
Flashback,Nulled,54
Adobe,EpicGames,64824
ModernBusinessSolutions,Neopets,487607
Adobe,Minefield,39882
GamerzPlanet,WPT,44
000webhost,BattlefieldHeroes,4
Avast,mSpy,177
Lookbook,eThekwiniMunicipality,14
AstroPID,Dominos,6
AhaShare,Hemmelig,14
PHPFreaks,Yahoo,900
AcneOrg,ClixSense,1661
Adobe,GFAN,437257
BigMoneyJobs,Sony,7
LoungeBoard,SCDailyPhoneSpamList,126
OwnedCore,mSpy,500
MoDaCo,SpecialKSpamList,8901
Lifeboat,Yahoo,785
Comcast,EpicGames,237
PokemonCreed,mSpy,165
BigMoneyJobs,NetEase,415
DLH,Taobao,1709
Comcast,Tumblr,10214
Aternos,PS3Hax,1521
GTAGaming,GeekedIn,323
TruckersMP,gPotato,287
Gawker,HeroesOfNewerth,10497
Hemmelig,WildStar,33
Mac-Torrents,MoneyBookers,772
DLH,FlashFlashRevolution,3558
BlackHatWorld,LOTR,1623
LinkedIn,Solomid,10482
Bell,Teracod,1
Neopets,UnrealEngine,6783
MoDaCo,Stratfor,1226
PokemonCreed,ServerPact,185
GamerzPlanet,Sony,4
Gawker,Nulled,298
Flashback,SkTorrent,3
StarNet,Xbox-Scene,7
AstroPID,Xbox-Scene,77
BitTorrent,iMesh,1081
BlueSnapRegpack,iDressup,73
Malwarebytes,StarNet,2
AhaShare,Hemmakvall,10
MoDaCo,Trillian,41574
ModernBusinessSolutions,SCDailyPhoneSpamList,2570908
Forbes,Lifeboat,1038
PS3Hax,Solomid,3002
000webhost,Neopets,111439
HackingTeam,Lifeboat,25
Stratfor,myRepoSpace,121
Stratfor,Yahoo,1406
MPGH,OwnedCore,64705
BusinessAcumen,Gamigo,3
OwnedCore,PixelFederation,34
Malwarebytes,PSX-Scene,1899
DDO,Neopets,138754
MinecraftWorldMap,iDressup,127
CivilOnline,LOTR,915
AcneOrg,mSpy,309
HackForums,Seedpeer,933
Insanelyi,Yahoo,124
Seedpeer,gPotato,1262
Aternos,NexusMods,6929
Nulled,Yahoo,255
FoxyBingo,MinecraftPocketEditionForum,5
MinecraftWorldMap,NexusMods,8394
MajorGeeks,xat,1475
HackingTeam,iMesh,139
NetEase,PaddyPower,8889
MoDaCo,Tesco,10
BlackHatWorld,Gamigo,3657
BattlefieldHeroes,ThisHabboForum,1
BlackHatWorld,Pokebip,208
MailRu,PokemonCreed,208
17Media,Solomid,615
Dodonew,Trillian,9463
Malwarebytes,mSpy,77
Dominos,HackingTeam,4
Experian,Solomid,333
Hemmakvall,MoneyBookers,37
LinuxMint,Teracod,17
AndroidForums,FlashFlashRevolution,3256
PaddyPower,Pokebip,71
Mac-Torrents,Patreon,286
AstroPID,Neopets,174
CheapAssGamer,ServerPact,38
LizardSquad,WarInc,144
Duowan,Minefield,9
Lookbook,SumoTorrent,176
PHPFreaks,SkTorrent,14
WPT,iMesh,4890
FFShrine,TRAI,16
Interpals,MinecraftWorldMap,355
Warframe,Yahoo,107
BigMoneyJobs,Dropbox,3492
LinkedIn,Rambler,54209
AcneOrg,FFShrine,1969
Nival,Vodafone,6
Aternos,Trillian,2195
BlackHatWorld,HackForums,9805
Leet,MuslimDirectory,242
LinuxMint,TruckersMP,69
BigMoneyJobs,PSX-Scene,5
BTSec,UnrealEngine,10547
MajorGeeks,WPT,149
GFAN,Win7Vista,2881
Lastfm,mSpy,12395
HackingTeam,PSX-Scene,3
BigMoneyJobs,VK,161
Comcast,Insanelyi,34
BlackHatWorld,MajorGeeks,2174
Bell,iDressup,1
Rambler,mSpy,87
AndroidForums,Yandex,6
Hemmelig,MuslimDirectory,5
FFShrine,WPT,59
BusinessAcumen,Dropbox,127
NetEase,WHMCS,1340
GameTuts,Nulled,3112
126,MoDaCo,282
Hemmelig,MinecraftPocketEditionForum,3
Tesco,mSpy,1
HeroesOfNewerth,iPmart,42767
Patreon,Stratfor,1792
AcneOrg,Trillian,5733
ArmyForceOnline,Stratfor,745
SpecialKSpamList,Yahoo,27587
Rambler,iMesh,12530
Nival,Solomid,2987
HeroesOfGaia,WIIUISO,358
GamerzPlanet,QatarNationalBank,45
CannabisForum,Spirol,2
FlashFlashRevolution,Lookbook,4551
PS3Hax,myRepoSpace,2221
PaddyPower,Plex,606
NexusMods,Uiggy,4730
Lastfm,WHMCS,7788
MoneyBookers,Solomid,1616
SCDailyPhoneSpamList,Trillian,35999
Aipai,COMELEC,25
LinkedIn,MoneyBookers,507096
FlashFlashRevolution,Tianya,4166
000webhost,FoxyBingo,857
BusinessAcumen,Nulled,1
GFAN,LoungeBoard,102
HeroesOfGaia,Seedpeer,115
MySpace,NetEase,1351177
Experian,Nihonomaru,2844
GTAGaming,MPGH,12800
DDO,uTorrent,2363
CrackCommunity,IGF,2
CrackCommunity,GTAGaming,199
Avast,Gawker,2261
BusinessAcumen,MySpace,62
Minefield,SumoTorrent,127
Leet,MinecraftWorldMap,1159
CheapAssGamer,VBulletin,6200
LinkedIn,Uiggy,119411
MailRu,SkTorrent,18
GamerzPlanet,WIIUISO,7729
Minefield,R2Games,7636
MailRu,MajorGeeks,243
Mac-Torrents,SprashivaiRu,35
Adobe,Gamigo,877562
TruckersMP,Warframe,724
Nulled,ServerPact,1247
Hemmakvall,NexusMods,909
Flashback,uTorrent,197
PixelFederation,Uiggy,33
Interpals,MinecraftPocketEditionForum,49
FlashFlashRevolution,UnrealEngine,2130
Lifeboat,ThisHabboForum,7637
Adobe,VBulletin,135127
LizardSquad,WPT,1
ModernBusinessSolutions,WarInc,21491
Pokebip,UnrealEngine,626
ModernBusinessSolutions,TruckersMP,996
QatarNationalBank,iMesh,2501
MoDaCo,iPmart,102762
17Media,NexusMods,11739
CannabisForum,TRAI,2
Seedpeer,eThekwiniMunicipality,5
MPGH,Yahoo,1947
Uiggy,Verified,3
MPGH,myRepoSpace,8352
SkTorrent,uTorrent,78
MyVidster,iMesh,1222
Dropbox,Leet,66285
Experian,Lookbook,1446
Onverse,Rambler,77
BitTorrent,Neopets,269
PHPFreaks,Verified,20
126,Taobao,371621
FFShrine,Insanelyi,1303
SCDailyPhoneSpamList,Xbox-Scene,6589
DLH,Interpals,6860
GFAN,NetEase,5197291
Uiggy,Vodafone,18
000webhost,iMesh,239394
ThisHabboForum,Tianya,1633
BitTorrent,PokemonCreed,11
BitTorrent,HackForums,81
126,GeekedIn,771
FFShrine,WarInc,4255
Aipai,Seedpeer,166
GameTuts,LOTR,2313
FFShrine,Yandex,33
MuslimDirectory,NetEase,918
Hemmakvall,Verified,1
126,EpicGames,10
CrackCommunity,ServerPact,8
Rambler,iPmart,2078
BusinessAcumen,Minefield,34
Duowan,Hemmelig,3
Forbes,MyVidster,41
Mac-Torrents,PaddyPower,87
BlackHatWorld,Verified,269
BusinessAcumen,WHMCS,2
LOTR,Vodafone,88
MPGH,QatarNationalBank,78
Gawker,MoneyBookers,3137
Insanelyi,ThisHabboForum,269
LizardSquad,Stratfor,61
Hemmelig,VK,185
Nulled,SpecialKSpamList,3757
Avast,Lastfm,16613
Minefield,QatarNationalBank,5
AhaShare,Bell,2
BTSec,SCDailyPhoneSpamList,77916
FlashFlashRevolution,Tumblr,168270
CrackCommunity,uTorrent,71
DDO,MinecraftPocketEditionForum,50
PixelFederation,Sony,1
Avast,Dodonew,695
Bell,Nival,2
Lifeboat,Teracod,106
Leet,VK,26858
GameTuts,MPGH,42851
17Media,MuslimDirectory,52
BitTorrent,Nulled,70
NetEase,Trillian,42179
GFAN,Tumblr,54123
Vodafone,Xbox-Scene,33
FFShrine,StarNet,20
000webhost,FlashFlashRevolution,14312
Neteller,NextGenUpdate,4318
PHPFreaks,myRepoSpace,179
BitTorrent,Win7Vista,101
GeekedIn,Seedpeer,320
Flashback,MinecraftPocketEditionForum,1
Dropbox,Hemmelig,1176
HeroesOfNewerth,iDressup,12408
BlueSnapRegpack,PS3Hax,5
ClixSense,LoungeBoard,1117
CrackCommunity,Leet,83
QatarNationalBank,Stratfor,236
PaddyPower,StarNet,14
Dodonew,Mac-Torrents,294
LoungeBoard,Rambler,9
PixelFederation,gPotato,79
Dodonew,HeroesOfNewerth,28400
Leet,Warframe,1648
MinecraftPocketEditionForum,QatarNationalBank,2
Bell,Spirol,9
ServerPact,XSplit,6167
MySpace,Solomid,35518
EpicGames,SCDailyPhoneSpamList,2254
HackingTeam,LinuxMint,4
AstroPID,HeroesOfGaia,3
MoDaCo,Warframe,633
Duowan,MyVidster,25
Stratfor,Teracod,21
SCDailyPhoneSpamList,XSplit,7210
Gawker,Rambler,76
Adobe,Patreon,206102
PaddyPower,Warframe,50
Dropbox,Minefield,11377
IGF,VK,23
Hemmakvall,Neopets,296
Bell,Neopets,55
Aternos,Gawker,37
Aternos,ClixSense,591
AcneOrg,LoungeBoard,104
BlueSnapRegpack,Dodonew,137
Lifeboat,xat,15188
MySpace,Rambler,150419
Minefield,ServerPact,54
Bell,MangaTraders,1
CrackCommunity,Interpals,93
ArmyForceOnline,Aternos,13516
MinecraftWorldMap,StarNet,1
MuslimDirectory,SCDailyPhoneSpamList,117
GTAGaming,WIIUISO,1225
Flashback,Xbox-Scene,782
LOTR,PaddyPower,489
Dominos,LizardSquad,28
MajorGeeks,Plex,1344
LinkedIn,ThisHabboForum,7520
EpicGames,MPGH,8054
LOTR,MuslimDirectory,26
AstroPID,SumoTorrent,11
000webhost,HeroesOfGaia,3675
Neteller,WarInc,3017
Teracod,iMesh,2859
UnrealEngine,Yahoo,359
MuslimDirectory,R2Games,269
AndroidForums,Forbes,4787
BitTorrent,BlackHatWorld,323
HeroesOfNewerth,NextGenUpdate,36029
Interpals,uTorrent,1497
Gamigo,NexusMods,298921
Duowan,SumoTorrent,63
Forbes,Pokebip,39
BlackHatWorld,PaddyPower,854
Duowan,Win7Vista,184
LizardSquad,Taobao,54
Boxee,Tianya,104
126,CivilOnline,105665
Adobe,R2Games,946860
OwnedCore,PHPFreaks,2329
BlackHatWorld,Hemmakvall,286
CheapAssGamer,Xbox-Scene,12964
AhaShare,LOTR,294
Rambler,WarInc,504
17Media,HeroesOfNewerth,8861
MinecraftWorldMap,Nival,322
PS3Hax,Taobao,420
LizardSquad,ThisHabboForum,102
