Source,Target,Weight
Aipai,EpicGames,346
Nival,WildStar,16318
LinuxMint,WIIUISO,658
Patreon,WIIUISO,3423
DLH,Win7Vista,1568
Aipai,Tumblr,15299
Avast,BlackHatWorld,9590
BigMoneyJobs,MPGH,14
SumoTorrent,Teracod,321
MoDaCo,Xbox-Scene,14230
AndroidForums,Aternos,109
Leet,ModernBusinessSolutions,120219
Flashback,HeroesOfGaia,47
HeroesOfGaia,QuantumBooter,57
MailRu,ThisHabboForum,435
BusinessAcumen,Tianya,3
HeroesOfGaia,mSpy,240
WIIUISO,uTorrent,1377
Dodonew,Dropbox,94915
FFShrine,HeroesOfGaia,529
CivilOnline,Tianya,1043601
AndroidForums,BattlefieldHeroes,1
Aternos,PixelFederation,72
Warframe,myRepoSpace,455
Dominos,LOTR,650
HackingTeam,OwnedCore,10
PaddyPower,PokemonCreed,106
LizardSquad,Trillian,197
Dropbox,Nihonomaru,125546
GTAGaming,Lookbook,293
Leet,Nival,2960
NexusMods,SpecialKSpamList,45952
SpecialKSpamList,xat,40927
17Media,Stratfor,424
OwnedCore,Tianya,2633
SCDailyPhoneSpamList,VBulletin,3101
FoxyBingo,Tesco,23
CrackCommunity,PokemonCreed,49
LizardSquad,Pokebip,62
Uiggy,gPotato,880
Neteller,ServerPact,66
PixelFederation,VBulletin,20
Comcast,Dropbox,34972
Hemmelig,Nival,6
SCDailyPhoneSpamList,Yahoo,29410
Duowan,Tumblr,4195
PokemonCreed,Stratfor,211
AcneOrg,BlackHatWorld,5519
Stratfor,UnrealEngine,204
WPT,myRepoSpace,23
SCDailyPhoneSpamList,StarNet,62
Aternos,mSpy,86
MyVidster,Win7Vista,14
CrackCommunity,Lookbook,109
BitTorrent,MPGH,542
Dominos,NextGenUpdate,691
Comcast,Yahoo,705
WIIUISO,xat,8863
Bell,Taobao,3
AcneOrg,Malwarebytes,542
FlashFlashRevolution,Hemmelig,62
MinecraftPocketEditionForum,PSX-Scene,211
Hemmakvall,PaddyPower,13
CivilOnline,Vodafone,4
Malwarebytes,iPmart,2107
ClixSense,Plex,743
Nihonomaru,iPmart,35962
Duowan,WPT,4
Pokebip,xat,2889
BTSec,GFAN,8293
AhaShare,MailRu,158
Onverse,Yandex,4
Bell,QatarNationalBank,1
Gamigo,Tesco,4
Boxee,NexusMods,4787
Nihonomaru,WIIUISO,18780
Gawker,iPmart,7214
Boxee,Lifeboat,285
Aipai,mSpy,165
SpecialKSpamList,gPotato,19885
ClixSense,Trillian,20703
DLH,WarInc,19874
126,Adobe,30102
GeekedIn,gPotato,2429
GameTuts,uTorrent,885
DLH,eThekwiniMunicipality,7
SpecialKSpamList,Tianya,5002
Tumblr,iDressup,249173
Lifeboat,Neteller,4202
IGF,MailRu,38
HackForums,iPmart,7757
CheapAssGamer,Mac-Torrents,939
BusinessAcumen,HeroesOfNewerth,10
Adobe,xat,729511
Lifeboat,MoDaCo,1545
Taobao,uTorrent,453
Aipai,AstroPID,1
Duowan,NetEase,1067661
CivilOnline,OwnedCore,970
Forbes,WildStar,1869
GeekedIn,PokemonCreed,82
Duowan,NexusMods,14604
Dominos,SprashivaiRu,20
Dodonew,Neopets,55523
ModernBusinessSolutions,Tianya,10320
Interpals,WIIUISO,1846
BlueSnapRegpack,Rambler,18
BigMoneyJobs,Neopets,206
AndroidForums,Dodonew,1914
QuantumBooter,xat,2456
LoungeBoard,Patreon,334
ClixSense,iMesh,118255
Experian,MailRu,1707
Teracod,WarInc,239
AndroidForums,ArmyForceOnline,327
CheapAssGamer,ClixSense,2281
BigMoneyJobs,NexusMods,59
Nulled,Patreon,3254
Hemmelig,ServerPact,4
ClixSense,Patreon,2648
Aipai,Bell,3
PixelFederation,Taobao,5
Adobe,MPGH,545886
MinecraftWorldMap,QatarNationalBank,1
AhaShare,Rambler,70
QatarNationalBank,Xbox-Scene,29
ArmyForceOnline,Dodonew,2327
Trillian,Xbox-Scene,17052
ModernBusinessSolutions,gPotato,28605
BigMoneyJobs,Nulled,4
AhaShare,LizardSquad,11
Onverse,iDressup,20470
Dominos,R2Games,4605
AhaShare,ArmyForceOnline,173
Duowan,VBulletin,59
GFAN,iMesh,16463
PSX-Scene,VK,3273
Insanelyi,Nival,175
Dominos,FoxyBingo,25
Aipai,PokemonCreed,171
HackForums,SumoTorrent,798
Comcast,FFShrine,339
CannabisForum,MySpace,87426
Gamigo,ServerPact,1421
LinuxMint,Stratfor,508
17Media,PaddyPower,178
AhaShare,Solomid,147
126,iDressup,31
SpecialKSpamList,ThisHabboForum,1319
Flashback,Hemmelig,21
KMRU,Leet,550
AhaShare,Nulled,267
Adobe,SkTorrent,6031
EpicGames,LinkedIn,28604
LOTR,NextGenUpdate,4944
Forbes,Insanelyi,253
NetEase,TruckersMP,342
MailRu,OwnedCore,1804
Adobe,MajorGeeks,70646
Boxee,CivilOnline,30
BTSec,Experian,16175
MajorGeeks,OwnedCore,2539
ClixSense,FlashFlashRevolution,4295
LOTR,PixelFederation,48
Comcast,MailRu,74
LizardSquad,Neteller,52
Dominos,FFShrine,911
Aipai,Aternos,14
MinecraftWorldMap,mSpy,30
Nival,XSplit,37607
FlashFlashRevolution,SCDailyPhoneSpamList,28419
Pokebip,Sony,1
Interpals,MajorGeeks,651
LoungeBoard,MoDaCo,551
Nival,uTorrent,1629
Mac-Torrents,Nulled,180
DLH,Neteller,1540
MajorGeeks,PaddyPower,562
ArmyForceOnline,MyVidster,5
HeroesOfNewerth,MPGH,178199
Insanelyi,Neopets,2576
Nihonomaru,myRepoSpace,1009
GameTuts,MangaTraders,1570
Dodonew,Stratfor,2607
Aternos,BTSec,1007
DLH,Solomid,3088
LoungeBoard,Solomid,267
126,FFShrine,115
Dropbox,Mac-Torrents,17620
CheapAssGamer,HeroesOfGaia,306
AndroidForums,Gawker,8295
LOTR,MoneyBookers,11177
Experian,Lastfm,97564
Taobao,Uiggy,39
Neteller,OwnedCore,7728
Gawker,Spirol,12
PS3Hax,Win7Vista,3673
Nival,SprashivaiRu,37091
MajorGeeks,VBulletin,3108
000webhost,myRepoSpace,14884
DDO,Nulled,1370
COMELEC,PixelFederation,3
GameTuts,MajorGeeks,484
EpicGames,mSpy,86
LoungeBoard,iPmart,1643
BTSec,LinkedIn,989430
Gawker,PaddyPower,544
IGF,Nihonomaru,86
AndroidForums,WildStar,3189
WildStar,mSpy,182
AcneOrg,SprashivaiRu,32
Lifeboat,Sony,47
iDressup,iPmart,1638
MoneyBookers,Plex,3923
000webhost,CivilOnline,10352
126,GamerzPlanet,57
BitTorrent,SkTorrent,6
SumoTorrent,WIIUISO,943
ClixSense,iPmart,35159
Interpals,QuantumBooter,151
GameTuts,SprashivaiRu,67
000webhost,MySpace,1000407
MinecraftPocketEditionForum,Nival,38
BitTorrent,WildStar,132
Nival,Verified,82
DLH,LoungeBoard,1105
TRAI,Taobao,1
Duowan,Gawker,73
MuslimDirectory,Yahoo,44
MuslimDirectory,myRepoSpace,18
FlashFlashRevolution,QuantumBooter,288
BTSec,PSX-Scene,10589
CannabisForum,MoneyBookers,1711
MySpace,R2Games,1762158
BlueSnapRegpack,StarNet,1
GTAGaming,Neopets,4249
KMRU,Minefield,6
EpicGames,Neopets,8480
LizardSquad,ServerPact,123
Neteller,Pokebip,530
COMELEC,MinecraftPocketEditionForum,7
LinkedIn,Win7Vista,28268
DLH,GamerzPlanet,13260
GFAN,Xbox-Scene,1209
AcneOrg,iPmart,2315
HeroesOfGaia,MoDaCo,211
Interpals,eThekwiniMunicipality,57
MinecraftWorldMap,Seedpeer,27
DLH,WIIUISO,6734
Adobe,Snapchat,2
000webhost,Nulled,38687
SkTorrent,TruckersMP,139
Flashback,MangaTraders,118
Insanelyi,Lastfm,14703
Seedpeer,WarInc,563
KMRU,Malwarebytes,8
Dodonew,iMesh,65599
Avast,Tumblr,11593
Adobe,MuslimDirectory,5097
TruckersMP,WildStar,654
Avast,FlashFlashRevolution,4021
Dodonew,ServerPact,79
Insanelyi,Sony,7
BattlefieldHeroes,CheapAssGamer,1
Duowan,MoDaCo,499
CrackCommunity,QuantumBooter,31
HackingTeam,Rambler,3
Seedpeer,mSpy,160
Rambler,gPotato,1343
Hemmakvall,Uiggy,71
Patreon,R2Games,30543
Nulled,Rambler,154
17Media,WIIUISO,373
FlashFlashRevolution,Stratfor,1448
ServerPact,SprashivaiRu,8
FFShrine,GameTuts,5484
PaddyPower,QuantumBooter,38
17Media,HeroesOfGaia,298
PixelFederation,uTorrent,26
17Media,iPmart,2800
Gamigo,Vodafone,148
HeroesOfNewerth,MyVidster,55
NexusMods,WHMCS,923
PaddyPower,ThisHabboForum,244
ClixSense,PixelFederation,129
Plex,Sony,30
PS3Hax,Seedpeer,1276
HackForums,Win7Vista,1287
GFAN,Neopets,27585
Experian,Flashback,27
LOTR,Tumblr,63524
SCDailyPhoneSpamList,Tumblr,313622
ClixSense,VBulletin,4389
Boxee,TruckersMP,11
FFShrine,OwnedCore,14315
LinuxMint,Trillian,7005
Flashback,MinecraftWorldMap,15
HeroesOfGaia,NexusMods,6307
Aipai,LinuxMint,73
BusinessAcumen,MailRu,16
Leet,gPotato,3803
MinecraftWorldMap,NetEase,504
Interpals,VBulletin,1156
Duowan,Teracod,1
GFAN,HackingTeam,12
17Media,Spirol,2
Boxee,PixelFederation,2
Bell,PS3Hax,3
GamerzPlanet,LinuxMint,554
Dodonew,MyVidster,46
Aternos,Boxee,10
Minefield,Plex,129
HackForums,SprashivaiRu,14
MailRu,StarNet,1153
Duowan,Neteller,142
Hemmelig,Teracod,1
ClixSense,Solomid,1120
Gawker,uTorrent,2751
PSX-Scene,QatarNationalBank,24
Lastfm,SprashivaiRu,37923
Aipai,Flashback,45
FFShrine,Patreon,9359
Gawker,Solomid,545
LinkedIn,SCDailyPhoneSpamList,2037852
PixelFederation,VK,135
GeekedIn,Rambler,272
Flashback,PokemonCreed,33
Experian,HeroesOfNewerth,7713
